date,value
2020-07-31,0.00824499
2020-06-30,0.00898437
2021-03-31,0.01032566
2020-12-31,0.01270553
2021-01-31,0.01277068
2021-07-31,0.01377672
2020-08-31,0.01410256
2021-08-31,0.01446281
2020-05-31,0.01645338
2020-11-30,0.01648352
2020-10-31,0.01774043
2021-06-30,0.01882353
2020-09-30,0.02093596
2021-04-30,0.02314368
2021-09-30,0.02529183
2021-05-31,0.02743902
2021-02-28,0.02875
2022-05-31,0.02925244
2021-10-31,0.03096539
2022-01-31,0.03156146
2022-02-28,0.03367003
2022-04-30,0.03375527
2022-03-31,0.03391685
2021-12-31,0.0412844
2021-11-30,0.05581948
